2024-12-08 11:13:42.074161,"I feel sad, can you help me?",feel stressed today feel better
2024-12-08 11:14:12.134819,what can i do to realx?,feel stressed today feel better
2024-12-08 11:14:25.835871,what can I do to relax?,feel stressed today feel better
2024-12-08 11:15:02.767775,"I need some motivation, what do you suggest?",need motivation help
2024-12-08 11:19:11.026111,"feeling sad, can you help",feeling advice
2024-12-08 20:22:44.025060,i am feeling very stressed,feeling advice
2024-12-08 20:23:05.196813,how can I relax?,feel stressed today feel better
2024-12-08 20:25:48.895882,I need some motivation,need motivation help
2024-12-08 20:29:08.600515,I need some motivation,need motivation help
2024-12-08 20:32:01.177360,I'm happy and excited today. What do you suggest?,happy excited today
2024-12-08 20:36:44.582979,"I need some motivation, can you help?",need motivation help
2024-12-08 20:39:23.264658,I'm happy and excites,happy excited today
2024-12-09 21:17:55.795912,I'm feeling very stressed and overwhelmed with work,feeling advice
2024-12-09 21:23:11.697096,"""""",feel stressed today feel better
2024-12-09 21:31:50.897101,"I need some motivation, can you help?",need motivation help
2024-12-09 21:34:45.895742,I feel stressed,feel stressed today feel better
2024-12-09 21:40:08.217865,Hi. I need some motivation today,need motivation help
2024-12-09 21:43:42.407261,"I need some motivation, can you help?",need motivation help
2024-12-09 21:44:13.963728,I need motivation,need motivation help
2024-12-09 21:49:15.981946,Hello,feel stressed today feel better
2024-12-09 21:51:42.863785,goodbye,feel stressed today feel better
